"Name of College","City","State","Minimum Score Required"
"Gordon College","Wenham","Massachusetts (MA)","3"
"Goshen College","Goshen","Indiana (IN)","3"
"Graceland University","Lamoni","Iowa (IA)","3"
"Grand Valley State University","Allendale","Michigan (MI)","3"
"Grays Harbor College","Aberdeen","Washington (WA)","3"
"Great Falls College Montana State University","Great Falls","Montana (MT)","3"
"Green River College","Auburn","Washington (WA)","3"
"Greenfield Community College","Greenfield","Massachusetts (MA)","3"
"Gustavus Adolphus College","Saint Peter","Minnesota (MN)","4"
"Hagerstown Community College","Hagerstown","Maryland (MD)","3"
"Hampton University","Hampton","Virginia (VA)","3"
"Harper College","Palatine","Illinois (IL)","3"
"Harrisburg Area Community College","Harrisburg","Pennsylvania (PA)","3"
"Hartnell College","Salinas","California (CA)","3"
"Hawaii Pacific University","Honolulu","Hawaii (HI)","3"
"Hazard Community and Technical College","Hazard","Kentucky (KY)","3"
"Henderson Community College","Henderson","Kentucky (KY)","3"
"Hendrix College","Conway","Arkansas (AR)","3"
"Henry Ford College","Dearborn","Michigan (MI)","3"
"High Point University","High Point","North Carolina (NC)","4"
"Highline College","Des Moines","Washington (WA)","3"
"Hiram College","Hiram","Ohio (OH)","4"
"Holmes Community College","Goodman","Mississippi (MS)","3"
"Holy Family University","Philadelphia","Pennsylvania (PA)","3"
"Hope College","Holland","Michigan (MI)","4"
"Hopkinsville Community College","Hopkinsville","Kentucky (KY)","3"
"Houghton University","Houghton","New York (NY)","3"
"Houston Community College System","Houston","Texas (TX)","3"
"Huntingdon College","Montgomery","Alabama (AL)","3"
"Husson University","Bangor","Maine (ME)","3"
"Idaho State University","Pocatello","Idaho (ID)","3"
"Illinois Central College","East Peoria","Illinois (IL)","3"
"Illinois Institute of Technology","Chicago","Illinois (IL)","4"
"Illinois State University","Normal","Illinois (IL)","3"
"Indian River State College","Fort Pierce","Florida (FL)","3"
"Indiana Institute of Technology","Fort Wayne","Indiana (IN)","4"
"Indiana State University","Terre Haute","Indiana (IN)","3"
"Indiana University Bloomington","Bloomington","Indiana (IN)","3"
"Indiana University East","Richmond","Indiana (IN)","3"
"Indiana University Indianapolis","Indianapolis","Indiana (IN)","3"
"Indiana University Kokomo","Kokomo","Indiana (IN)","3"
"Indiana University Northwest","Gary","Indiana (IN)","3"
"Indiana University South Bend","South Bend","Indiana (IN)","3"
"Indiana University Southeast","New Albany","Indiana (IN)","3"
"Indiana Wesleyan University","Marion","Indiana (IN)","3"
"Iona University","New Rochelle","New York (NY)","3"
"Iowa State University","Ames","Iowa (IA)","4"
"Irvine Valley College","Irvine","California (CA)","3"
"Ithaca College","Ithaca","New York (NY)","3"
"Jacksonville State University","Jacksonville","Alabama (AL)","3"
"Jacksonville University","Jacksonville","Florida (FL)","3"
"James A. Rhodes State College","Lima","Ohio (OH)","3"
"Jefferson Community and Technical College","Louisville","Kentucky (KY)","3"
"Jefferson State Community College","Birmingham","Alabama (AL)","3"
"John A. Logan College","Carterville","Illinois (IL)","3"
"John Brown University","Siloam Springs","Arkansas (AR)","3"
"John Carroll University","Cleveland","Ohio (OH)","3"
"Johnson & Wales University: Providence","Providence","Rhode Island (RI)","3"
"Johnson University","Knoxville","Tennessee (TN)","3"
"Joliet Junior College","Joliet","Illinois (IL)","3"
"Juniata College","Huntingdon","Pennsylvania (PA)","4"
"Kalamazoo Valley Community College","Kalamazoo","Michigan (MI)","3"
"Kankakee Community College","Kankakee","Illinois (IL)","3"
"Kansas State University","Manhattan","Kansas (KS)","3"
"Kansas Wesleyan University","Salina","Kansas (KS)","3"
"Kean University","Union","New Jersey (NJ)","3"
"Kellogg Community College","Battle Creek","Michigan (MI)","4"
"Kendall College of Art and Design of Ferris State University","Grand Rapids","Michigan (MI)","3"
"Kennesaw State University","Kennesaw","Georgia (GA)","4"
"Kent State University","Kent","Ohio (OH)","3"
"Kent State University: Ashtabula","Ashtabula","Ohio (OH)","3"
"Kent State University: East Liverpool","East Liverpool","Ohio (OH)","3"
"Kent State University: Geauga","Burton","Ohio (OH)","3"
