"Name of College","City","State","Minimum Score Required"
"Kansas State University","Manhattan","Kansas (KS)","3"
"Kansas Wesleyan University","Salina","Kansas (KS)","3"
"Kendall College","Chicago","Illinois (IL)","3"
"Kendall College of Art and Design of Ferris State University","Grand Rapids","Michigan (MI)","3"
"Kennesaw State University","Kennesaw","Georgia (GA)","3"
"Kent State University","Kent","Ohio (OH)","3"
"Kent State University: Ashtabula","Ashtabula","Ohio (OH)","3"
"Kent State University: East Liverpool","East Liverpool","Ohio (OH)","3"
"Kent State University: Geauga","Burton","Ohio (OH)","3"
"Kent State University: Salem","Salem","Ohio (OH)","3"
"Kent State University: Stark","North Canton","Ohio (OH)","3"
"Kent State University: Trumbull","Warren","Ohio (OH)","3"
"Kent State University: Tuscarawas","New Philadelphia","Ohio (OH)","3"
"Kentucky Christian University","Grayson","Kentucky (KY)","3"
"Kentucky State University","Frankfort","Kentucky (KY)","4"
"Kenyon College","Gambier","Ohio (OH)","3"
"Kettering University","Flint","Michigan (MI)","4"
"Keuka College","Keuka Park","New York (NY)","3"
