"Name of College","City","State","Minimum Score Required"
"Marist University","Poughkeepsie","New York (NY)","4"
"Marquette University","Milwaukee","Wisconsin (WI)","4"
"Maryville University of Saint Louis","Saint Louis","Missouri (MO)","3"
"Maysville Community And Technical College - Maysville Campus","Maysville","Kentucky (KY)","3"
"McDaniel College","Westminster","Maryland (MD)","4"
"Mercy College of Ohio","Toledo","Ohio (OH)","3"
"Meridian Community College","Meridian","Mississippi (MS)","3"
"Messiah University","Mechanicsburg","Pennsylvania (PA)","3"
"Metropolitan State University of Denver","Denver","Colorado (CO)","3"
"Miami Dade College","Miami","Florida (FL)","3"
"Miami University: Hamilton","Hamilton","Ohio (OH)","3"
"Miami University: Middletown","Middletown","Ohio (OH)","3"
"Miami University: Oxford","Oxford","Ohio (OH)","3"
"Michigan State University","East Lansing","Michigan (MI)","4"
"Millersville University of Pennsylvania","Millersville","Pennsylvania (PA)","3"
"Milwaukee School of Engineering","Milwaukee","Wisconsin (WI)","4"
"Minneapolis College of Art and Design","Minneapolis","Minnesota (MN)","4"
"Minot State University","Minot","North Dakota (ND)","3"
"Misericordia University","Dallas","Pennsylvania (PA)","4"
"Mississippi Delta Community College","Moorhead","Mississippi (MS)","3"
"Mississippi Gulf Coast Community College Harrison County","Gulfport","Mississippi (MS)","3"
"Mississippi State University","Mississippi State","Mississippi (MS)","3"
"Mississippi University for Women","Columbus","Mississippi (MS)","3"
"Mississippi Valley State University","Itta Bena","Mississippi (MS)","3"
"Missouri State University","Springfield","Missouri (MO)","3"
"Molloy University","Rockville Centre","New York (NY)","3"
"Monmouth College","Monmouth","Illinois (IL)","3"
"Monmouth University","West Long Branch","New Jersey (NJ)","3"
"Montclair State University","Montclair","New Jersey (NJ)","3"
"Moraine Valley Community College","Palos Hills","Illinois (IL)","3"
"Morehead State University","Morehead","Kentucky (KY)","3"
"Morgan Community College","Fort Morgan","Colorado (CO)","3"
"Morgan State University","Baltimore","Maryland (MD)","3"
"Mount Saint Mary College","Newburgh","New York (NY)","3"
"Mount Vernon Nazarene University","Mount Vernon","Ohio (OH)","3"
"Muskingum University","New Concord","Ohio (OH)","3"
"Naropa University","Boulder","Colorado (CO)","3"
"Nassau Community College","Garden City","New York (NY)","3"
"Nebraska Wesleyan University","Lincoln","Nebraska (NE)","4"
"Nelson University","Waxahachie","Texas (TX)","3"
"New England College","Henniker","New Hampshire (NH)","3"
"New Jersey City University","Jersey City","New Jersey (NJ)","3"
"New Jersey Institute of Technology","Newark","New Jersey (NJ)","4"
"New Mexico Highlands University","Las Vegas","New Mexico (NM)","3"
"New Mexico State University Dona Ana Community College","Las Cruces","New Mexico (NM)","3"
"New Mexico State University at Alamogordo","Alamogordo","New Mexico (NM)","3"
"New York Institute of Technology","Old Westbury","New York (NY)","3"
"New York University","New York","New York (NY)","4"
"Nicholls State University","Thibodaux","Louisiana (LA)","3"
"Nichols College","Dudley","Massachusetts (MA)","3"
"Norfolk State University","Norfolk","Virginia (VA)","3"
"North Carolina State University","Raleigh","North Carolina (NC)","3"
"North Dakota State College of Science","Wahpeton","North Dakota (ND)","3"
"North Dakota State University","Fargo","North Dakota (ND)","3"
"North Seattle College","Seattle","Washington (WA)","3"
"Northampton Community College","Bethlehem","Pennsylvania (PA)","3"
"Northeast Mississippi Community College","Booneville","Mississippi (MS)","3"
"Northeastern University","Boston","Massachusetts (MA)","4"
"Northern Arizona University","Flagstaff","Arizona (AZ)","3"
"Northern Illinois University","Dekalb","Illinois (IL)","3"
"Northern Kentucky University","Newport","Kentucky (KY)","3"
"Northern Michigan University","Marquette","Michigan (MI)","3"
"Northern New Mexico College","Espanola","New Mexico (NM)","3"
"Northern Virginia Community College","Annandale","Virginia (VA)","3"
"Northwest Mississippi Community College","Senatobia","Mississippi (MS)","3"
"Northwest Missouri State University","Maryville","Missouri (MO)","3"
"Northwestern State University Of Louisiana","Natchitoches","Louisiana (LA)","3"
"Northwestern University","Evanston","Illinois (IL)","5"
"Norwich University","Northfield","Vermont (VT)","3"
"Nova Southeastern University","Fort Lauderdale","Florida (FL)","3"
"Oakland Community College","Auburn Hills","Michigan (MI)","3"
"Oakland University","Rochester","Michigan (MI)","3"
"Occidental College","Los Angeles","California (CA)","4"
"Oglethorpe University","Brookhaven","Georgia (GA)","4"
"Ohio Northern University","Ada","Ohio (OH)","4"
"Ohio State University: Columbus Campus","Columbus","Ohio (OH)","3"
"Ohio University","Athens","Ohio (OH)","3"
"Ohio University: Chillicothe Campus","Chillicothe","Ohio (OH)","3"
"Ohio University: Eastern Campus","Saint Clairsville","Ohio (OH)","3"
"Ohio University: Lancaster Campus","Lancaster","Ohio (OH)","3"
"Ohio University: Southern Campus at Ironton","Ironton","Ohio (OH)","3"
"Ohio University: Zanesville Campus","Zanesville","Ohio (OH)","3"
"Oklahoma State University","Stillwater","Oklahoma (OK)","3"
"Oklahoma State University Institute of Technology: Okmulgee","Okmulgee","Oklahoma (OK)","3"
