"Name of College","City","State","Minimum Score Required"
"Community College of Allegheny County","Pittsburgh","Pennsylvania (PA)","3"
"Community College of Philadelphia","Philadelphia","Pennsylvania (PA)","3"
"Community College of Rhode Island","Warwick","Rhode Island (RI)","3"
"Concord University","Athens","West Virginia (WV)","3"
"Concordia College: Moorhead","Moorhead","Minnesota (MN)","3"
"Concordia University Ann Arbor","Ann Arbor","Michigan (MI)","3"
"Concordia University Chicago","River Forest","Illinois (IL)","3"
"Concordia University Irvine","Irvine","California (CA)","3"
"Concordia University St. Paul","Saint Paul","Minnesota (MN)","3"
"Concordia University Wisconsin","Mequon","Wisconsin (WI)","3"
"Connecticut College","New London","Connecticut (CT)","4"
"Contra Costa College","San Pablo","California (CA)","3"
"Converse University","Spartanburg","South Carolina (SC)","3"
"Copper Mountain College","Joshua Tree","California (CA)","3"
"Coppin State University","Baltimore","Maryland (MD)","4"
"Corban University","Salem","Oregon (OR)","3"
"Cornell College","Mount Vernon","Iowa (IA)","4"
"Cosumnes River College","Sacramento","California (CA)","3"
"Cottey College","Nevada","Missouri (MO)","4"
"Covenant College","Lookout Mountain","Georgia (GA)","4"
"Crafton Hills College","Yucaipa","California (CA)","3"
"Craven Community College","New Bern","North Carolina (NC)","3"
"Creighton University","Omaha","Nebraska (NE)","4"
"Crown College","Saint Bonifacius","Minnesota (MN)","3"
"Cuesta College","San Luis Obispo","California (CA)","3"
"Culver-Stockton College","Canton","Missouri (MO)","3"
"Cuyahoga Community College","Cleveland","Ohio (OH)","3"
"Cuyahoga Community College Eastern Campus","Highland Hills","Ohio (OH)","3"
"Cuyahoga Community College Western Campus","Cleveland","Ohio (OH)","3"
"Cuyahoga Community College Westshore Campus","Westlake","Ohio (OH)","3"
"Cuyamaca College","El Cajon","California (CA)","3"
"D'Youville College","Buffalo","New York (NY)","3"
"Daemen University","Buffalo","New York (NY)","3"
"Dakota County Technical College","Rosemount","Minnesota (MN)","3"
"Dakota State University","Madison","South Dakota (SD)","3"
"Dakota Wesleyan University","Mitchell","South Dakota (SD)","3"
"Dallas Christian College","Dallas","Texas (TX)","3"
"Davenport University","Grand Rapids","Michigan (MI)","3"
"Davidson College","Davidson","North Carolina (NC)","4"
"Davidson Davie Community College","Thomasville","North Carolina (NC)","3"
"Dawson Community College","Glendive","Montana (MT)","3"
"Daytona State College","Daytona Beach","Florida (FL)","3"
"De Anza College","Cupertino","California (CA)","3"
"DePaul University","Chicago","Illinois (IL)","3"
"DeSales University","Center Valley","Pennsylvania (PA)","3"
"DeVry University: Decatur","Decatur","Georgia (GA)","3"
"Dean College","Franklin","Massachusetts (MA)","3"
"Defiance College","Defiance","Ohio (OH)","3"
"Delaware State University","Dover","Delaware (DE)","3"
"Delaware State University Downtown Campus","Dover","Delaware (DE)","3"
"Delta State University","Cleveland","Mississippi (MS)","3"
"Denison University","Granville","Ohio (OH)","4"
"Diablo Valley College","Pleasant Hill","California (CA)","3"
"Dickinson College","Carlisle","Pennsylvania (PA)","4"
"Dickinson State University","Dickinson","North Dakota (ND)","3"
"Dominican University","River Forest","Illinois (IL)","4"
"Dominican University New York","Orangeburg","New York (NY)","3"
"Dominican University of California","San Rafael","California (CA)","3"
"Dordt University","Sioux Center","Iowa (IA)","4"
"Drake University","Des Moines","Iowa (IA)","4"
"Drew University","Madison","New Jersey (NJ)","4"
"Drexel University","Philadelphia","Pennsylvania (PA)","5"
"Drury University","Springfield","Missouri (MO)","3"
"Duke University","Durham","North Carolina (NC)","5"
"Duquesne University","Pittsburgh","Pennsylvania (PA)","3"
"Durham Technical Community College","Durham","North Carolina (NC)","3"
"Earlham College","Richmond","Indiana (IN)","4"
"East Carolina University","Greenville","North Carolina (NC)","3"
"East Central University","Ada","Oklahoma (OK)","3"
"East Georgia State College","Swainsboro","Georgia (GA)","3"
"East Los Angeles College","Monterey Park","California (CA)","3"
"East Stroudsburg University of Pennsylvania","East Stroudsburg","Pennsylvania (PA)","3"
"Eastern Arizona College","Thatcher","Arizona (AZ)","4"
"Eastern Connecticut State University","Willimantic","Connecticut (CT)","3"
"Eastern Illinois University","Charleston","Illinois (IL)","3"
"Eastern Kentucky University","Richmond","Kentucky (KY)","3"
"Eastern Maine Community College","Bangor","Maine (ME)","3"
"Eastern Mennonite University","Harrisonburg","Virginia (VA)","3"
"Eastern Michigan University","Ypsilanti","Michigan (MI)","4"
"Eastern Oregon University","La Grande","Oregon (OR)","3"
"Eastern University","Wayne","Pennsylvania (PA)","3"
"Eastern Washington University","Cheney","Washington (WA)","4"
